Channel,AUC_A,AUC_B,Delta,Rank_A,Rank_B
CH001,70.109247,52.939361,-17.169886,3,23
CH002,62.430175,53.860274,-8.569901,14,17
CH003,68.115695,54.270137,-13.845558,5,16
CH004,51.795833,45.878889,-5.916944,58,61
CH005,44.461622,39.313542,-5.14808,98,117
CH006,45.609511,44.014168,-1.595343,93,79
CH007,46.582142,44.296225,-2.285917,86,75
CH008,46.816437,43.076355,-3.740082,84,85
CH009,56.523936,46.559519,-9.964417,38,56
CH010,52.829349,49.133995,-3.695354,49,36
CH011,50.805438,50.983451,0.178013,61,27
CH012,47.928754,49.19291,1.264156,75,35
CH013,52.94138,43.540998,-9.400382,47,83
CH014,67.565207,54.45683,-13.108377,6,15
CH015,37.883733,40.84533,2.961597,114,105
CH016,52.227219,46.439918,-5.787301,55,58
CH017,60.522383,48.746582,-11.775801,20,40
CH018,60.821349,48.495969,-12.32538,18,44
CH019,63.909149,39.87981,-24.029339,12,110
CH020,59.390187,44.320137,-15.07005,25,74
CH021,75.810971,51.756816,-24.054155,1,26
CH022,56.80974,43.684935,-13.124805,35,80
CH023,49.463133,42.629137,-6.833996,71,92
CH024,48.850271,46.796303,-2.053968,72,54
CH025,39.37633,40.864645,1.488315,112,104
CH026,33.692565,39.673579,5.98101399999999,118,114
CH027,61.137542,47.440429,-13.697113,16,51
CH028,73.280027,61.795834,-11.484193,2,1
CH029,50.149365,53.189602,3.040237,66,21
CH030,52.300891,48.974705,-3.326186,53,37
CH031,42.3976,36.251505,-6.146095,106,122
CH032,60.784601,44.291762,-16.492839,19,76
CH033,57.184303,41.473988,-15.710315,34,99
CH034,47.013707,42.774088,-4.239619,83,90
CH035,44.248472,42.954236,-1.294236,99,88
CH036,25.089121,30.85409,5.764969,128,128
CH037,41.077426,43.072662,1.995236,108,86
CH038,47.406041,48.86157,1.455529,80,38
CH039,46.719505,45.066623,-1.652882,85,70
CH040,31.342776,41.61029,10.267514,124,98
CH041,58.71167,52.253983,-6.457687,28,24
CH042,53.654798,55.432154,1.777356,44,11
CH043,50.692164,43.013863,-7.678301,62,87
CH044,44.647156,47.931563,3.28440699999999,97,48
CH045,27.439225,32.099444,4.660219,127,126
CH046,58.544137,50.732771,-7.811366,29,29
CH047,64.384042,42.148956,-22.235086,10,95
CH048,45.694465,45.499019,-0.195446000000004,91,67
CH058,40.039535,34.573967,-5.465568,109,123
CH059,48.634049,42.403708,-6.230341,73,94
CH060,59.427221,45.67554,-13.751681,24,64
CH061,46.282826,46.5417,0.258873999999999,89,57
CH062,51.085396,44.181116,-6.90428,60,78
CH063,47.447283,43.664287,-3.782996,79,81
CH064,49.744435,47.530016,-2.214419,69,50
CH065,58.85967,50.70866,-8.15101,27,30
CH066,32.091872,34.566794,2.474922,123,124
CH067,50.573246,41.071574,-9.501672,64,101
